2024/06/16 09:04:07 [error] 10108#7584: *21372 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&wp_theme_preview=twentytwentytwo&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "labsassessment.local", referrer: "https://labsassessment.local/wp-admin/site-editor.php?wp_theme_preview=twentytwentytwo&return=https%3A%2F%2Flabsassessment.local%2Fwp-admin%2Fthemes.php"
2024/06/18 11:48:06 [error] 15084#16732: *5088 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5089 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5090 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5091 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5092 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5093 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5094 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5095 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5096 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5097 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5098 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5099 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5100 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5101 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5102 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5103 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5104 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5105 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5106 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5107 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5108 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5109 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5110 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5111 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5112 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5113 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5114 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5115 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5116 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5117 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5118 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5119 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5120 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5121 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5122 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5123 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5124 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5125 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5126 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5127 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5128 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5129 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5130 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5131 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5132 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5133 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5134 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5135 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5136 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:07 [error] 15084#16732: *5137 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:07 [error] 15084#16732: *5138 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:07 [error] 15084#16732: *5139 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:07 [error] 15084#16732: *5140 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5141 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5142 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5143 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5144 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5145 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5146 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5147 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5148 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5149 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5150 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5151 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5152 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:09 [error] 15084#16732: *5153 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
